,regressor,pid,visit,r2,max_error,MSE
135,AdaBoostRegressor(),28,1,-0.7084597022114787,-0.6449746470216036,-0.05478941877377028
136,AdaBoostRegressor(),28,2,0.21092703080434294,-0.39505702341137106,-0.021019539661488524
137,AdaBoostRegressor(),28,3,0.22615092884707613,-0.3077737511699907,-0.014215827529305908
138,AdaBoostRegressor(),29,1,0.27628650028146273,-1.1731209195882826,-0.1890563155305447
139,AdaBoostRegressor(),29,2,-0.24418643756271874,-2.3708455070040437,-0.5028755933634009
140,AdaBoostRegressor(),29,3,0.1764061840265812,-0.6579066094011466,-0.08704770341859133
141,AdaBoostRegressor(),30,1,-0.09315887327185506,-1.725092512173104,-0.3476661864505005
142,AdaBoostRegressor(),30,2,-0.6657912865780194,-1.7602915086463924,-0.4595450810047854
143,AdaBoostRegressor(),30,3,-0.5807876856929248,-1.407715789724981,-0.2823617325125845
144,AdaBoostRegressor(),31,1,0.30073161470642934,-0.2386256551724137,-0.009699506497587499
145,AdaBoostRegressor(),31,2,0.1502432742436273,-0.3053210568948891,-0.01262140721919044
146,AdaBoostRegressor(),31,3,-0.8404306269778319,-0.7216479017177647,-0.03434267282776679
147,AdaBoostRegressor(),32,1,-0.4085661298897243,-1.2017123737373736,-0.14213751243087364
148,AdaBoostRegressor(),32,2,-0.2960774969169095,-0.44517933452168756,-0.031885077153899
149,AdaBoostRegressor(),33,1,0.11439027960817708,-0.7536488636363634,-0.10755769165270657
150,AdaBoostRegressor(),33,2,-0.31638726342674595,-0.492920573152338,-0.048294109069260446
151,AdaBoostRegressor(),33,3,0.2560447449693405,-0.4351023411371237,-0.025368443598595893
152,AdaBoostRegressor(),35,1,0.15867711927549757,-0.5927186454508365,-0.04544896562271371
153,AdaBoostRegressor(),35,2,-0.7781662702897819,-0.5164805388295914,-0.04278392910152051
154,AdaBoostRegressor(),36,1,-0.08617371951324097,-2.4286512280701755,-1.3239067199547931
155,AdaBoostRegressor(),36,2,-0.2143872514406099,-2.44423317258547,-1.3958350201482104
156,AdaBoostRegressor(),36,3,-0.196881716151053,-2.0420172619052424,-1.5375382139986553
157,AdaBoostRegressor(),37,1,-0.5347908891940854,-1.2445398894205206,-0.3043105050972956
158,AdaBoostRegressor(),37,2,-8.414368383223595,-2.6648072001942893,-2.235769081897783
159,AdaBoostRegressor(),37,3,-0.13648602669123128,-2.004974107189107,-1.2360621961175169
160,SVR(kernel='linear'),21,1,0.02292998995035369,-1.8773057164590312,-0.3665981123910727
161,SVR(kernel='linear'),21,2,-0.28606566305085546,-0.5765234039730274,-0.05720255957712404
162,SVR(kernel='linear'),21,3,0.17434186617340294,-0.47429599997928384,-0.03933914005317921
163,SVR(kernel='linear'),23,1,-0.01240162036554735,-2.7603812332923985,-0.7618188795844179
164,SVR(kernel='linear'),23,2,-0.017545829631770184,-2.3135055094363537,-0.49127401757086997
165,SVR(kernel='linear'),23,3,-0.9486086791623933,-2.24016885025269,-1.7575963998777695
166,SVR(kernel='linear'),25,1,-0.1410929424895905,-3.4572296774768603,-3.1029788751782754
167,SVR(kernel='linear'),25,2,-0.09082309518258631,-2.6882055186223295,-1.3429648692944351
168,SVR(kernel='linear'),25,3,0.23105990826293454,-1.6791977496334336,-0.27321370318962007
169,SVR(kernel='linear'),26,1,-0.7940398103584109,-2.559333120753241,-2.048159658776732
170,SVR(kernel='linear'),26,2,-0.1833161697198212,-2.4926817605107034,-1.850431142226005
171,SVR(kernel='linear'),26,3,-0.3253765196612507,-2.187505873281709,-1.9098063701537424
172,SVR(kernel='linear'),27,1,-0.10756649265389476,-0.46341804211171295,-0.021387895283407517
173,SVR(kernel='linear'),27,2,0.0844610410766313,-0.3253239592654224,-0.014446092580636241
174,SVR(kernel='linear'),27,3,0.10590208393696247,-0.25281765780096715,-0.009594822926095545
175,SVR(kernel='linear'),28,1,-0.38674856762779486,-0.6139604621319973,-0.044186134730327876
176,SVR(kernel='linear'),28,2,0.1826812773371643,-0.4885875202439028,-0.022579153804940442
177,SVR(kernel='linear'),28,3,0.23380162150792802,-0.3148483354231944,-0.014402947434384378
178,SVR(kernel='linear'),29,1,0.2385932129136056,-1.3251808358426347,-0.20207013629639023
179,SVR(kernel='linear'),29,2,0.07685432088403302,-2.457518978682932,-0.41287914253080177
180,SVR(kernel='linear'),29,3,0.09673281556585309,-0.7699439786792401,-0.09315634877990223
181,SVR(kernel='linear'),30,1,-0.22920676959883063,-1.8975842493462227,-0.3814902620321197
182,SVR(kernel='linear'),30,2,-0.3206503981321881,-1.4533200045343184,-0.4006918724461562
183,SVR(kernel='linear'),30,3,-0.46271695601098795,-1.4054235528329824,-0.2612787588700684
184,SVR(kernel='linear'),31,1,0.22771508412012897,-0.23460291845723075,-0.010550165207778952
185,SVR(kernel='linear'),31,2,0.2964985385133545,-0.2702915658418203,-0.010533387689211405
186,SVR(kernel='linear'),31,3,-0.09531394120166763,-0.5854170691152127,-0.026817795643782005
187,SVR(kernel='linear'),32,1,-0.21268398011063677,-1.229148110596398,-0.14226283951842528
188,SVR(kernel='linear'),32,2,-0.16172220339880744,-0.4264392078077138,-0.02854391703280178
189,SVR(kernel='linear'),33,1,0.06064373257048337,-0.7934346185359457,-0.10381624580458867
190,SVR(kernel='linear'),33,2,-0.40129619545968576,-0.5124756650377345,-0.053484550787143606
191,SVR(kernel='linear'),33,3,0.2374488525911397,-0.4182676132037031,-0.027013512026983377
192,SVR(kernel='linear'),35,1,0.2937624539758431,-0.6240828789402257,-0.04216119805926413
193,SVR(kernel='linear'),35,2,-0.1214836678395125,-0.5003083433127333,-0.03374263081756888
194,SVR(kernel='linear'),36,1,-0.14791079650936992,-2.7377521963847182,-1.4077117407929145
195,SVR(kernel='linear'),36,2,-0.10046321578419,-2.935553737601618,-1.3357099628594777
196,SVR(kernel='linear'),36,3,-0.22056392334858047,-2.511045137807593,-1.674190012796751
197,SVR(kernel='linear'),37,1,-0.2853870196747656,-1.2240700380200054,-0.26104506952457146
198,SVR(kernel='linear'),37,2,-6.640111393046882,-2.296284608180082,-2.3711700692972864
199,SVR(kernel='linear'),37,3,-0.4115372120759838,-1.9144851796944493,-1.4996133379995498
200,SVR(),21,1,-0.033632734885614135,-1.8636620959902097,-0.3638174159433328
201,SVR(),21,2,-0.4759918765809097,-0.61705094119884,-0.06498902650615272
202,SVR(),21,3,0.21139596367368746,-0.4420241922234175,-0.03723331054389842
203,SVR(),23,1,-0.023108927310009752,-2.794690321441758,-0.7614873818060162
204,SVR(),23,2,-0.03611253724314793,-2.363734227127182,-0.5056014368140537
205,SVR(),23,3,-0.45002029007447997,-2.316770261142308,-1.2035930417052967
206,SVR(),25,1,0.08813333389315108,-4.475489723454585,-2.511180855615657
207,SVR(),25,2,-0.030692344638061052,-2.627910554380703,-1.2626291243951901
208,SVR(),25,3,0.21439987897872612,-1.770573370004291,-0.28553587360214444
209,SVR(),26,1,-1.6849768370525156,-2.3715561657053046,-2.2471485622993823
210,SVR(),26,2,-0.19083748981165166,-2.7877424034688114,-1.8416658971242466
211,SVR(),26,3,-0.39174302084834156,-2.5286307538295967,-1.9528506661552605
212,SVR(),27,1,0.05662399743824318,-0.41117231906414126,-0.01744101451138752
213,SVR(),27,2,0.13365879673924427,-0.3072588548578077,-0.013544884059502096
214,SVR(),27,3,0.162161741641233,-0.260946706752829,-0.009158214948788853
215,SVR(),28,1,-0.6823871195525862,-0.6341514803323267,-0.0531832837175937
216,SVR(),28,2,0.2519158766385231,-0.4233600405469691,-0.019981846932888393
217,SVR(),28,3,0.24108737423655652,-0.3007795687277982,-0.014354943299778877
218,SVR(),29,1,0.4061801066677657,-1.1885779519615416,-0.1696714100329061
219,SVR(),29,2,0.02221950276575744,-2.3981020022207615,-0.3957532496143509
220,SVR(),29,3,0.3566233997017105,-0.6399024134262425,-0.06802736803171414
221,SVR(),30,1,-0.12680564160894753,-1.777001842930669,-0.359648934250357
222,SVR(),30,2,-0.376080754005214,-1.5783739786728352,-0.4200805427023472
223,SVR(),30,3,-0.5871981388713763,-1.4319394925334579,-0.2806139063483072
224,SVR(),31,1,0.3357827852169525,-0.23310614598738183,-0.00908429316200832
225,SVR(),31,2,0.23137802224190757,-0.28615265267138684,-0.011074281321347705
226,SVR(),31,3,-0.17680614255650073,-0.5735075773641112,-0.024396501619745936
227,SVR(),32,1,-0.15105175722417707,-1.1760395745614023,-0.12944899652836078
228,SVR(),32,2,-0.2600582486290855,-0.42363967179294304,-0.03081450297772854
229,SVR(),33,1,0.2776053593344961,-0.7414154807005187,-0.09581085242803569
230,SVR(),33,2,-0.027547642970902887,-0.4313018322460306,-0.03863682026491468
231,SVR(),33,3,0.3699980072567619,-0.39908764655931417,-0.02132563135998523
232,SVR(),35,1,0.34337068867078974,-0.6018523082799797,-0.0408232862873113
233,SVR(),35,2,-0.09398049185482274,-0.4694779119462387,-0.030250325038527794
234,SVR(),36,1,-0.15322831660882696,-2.7984144342572206,-1.4110688453715152
235,SVR(),36,2,-0.033030542291344965,-2.937586289444261,-1.2437707736644033
236,SVR(),36,3,-0.20592621640352293,-2.6172657884530013,-1.648282729721894
237,SVR(),37,1,-0.4731221532726728,-1.235482314270216,-0.291560843498284
238,SVR(),37,2,-11.174026686181076,-2.739130927141215,-2.923969026168766
239,SVR(),37,3,-0.3116426327686472,-2.1633302062006057,-1.4192045849883832
